timestamp,x,y,z,w
1523148932923623,0.0864258,0.297729,-0.735657,-0.602295
1523148932944678,0.0861206,0.297302,-0.73584,-0.602295
1523148932961223,0.0860596,0.296509,-0.736206,-0.602295
1523148932983783,0.0864258,0.295959,-0.736572,-0.602051
1523148933004842,0.0854492,0.29541,-0.736633,-0.602356
1523148933021384,0.0856323,0.294617,-0.737366,-0.601807
1523148933043944,0.0872192,0.294312,-0.737549,-0.601501
1523148933064999,0.0889893,0.292664,-0.738281,-0.601257
1523148933089062,0.0910034,0.291504,-0.738586,-0.601013
1523148933103602,0.0925293,0.290894,-0.738892,-0.600769
1523148933124657,0.0932007,0.290405,-0.739136,-0.600586
1523148933141202,0.0934448,0.290344,-0.739197,-0.600464
1523148933163762,0.0935059,0.290283,-0.739258,-0.600464
1523148933184819,0.0930786,0.289856,-0.73938,-0.600586
1523148933201363,0.0925903,0.289795,-0.739502,-0.600586
1523148933223922,0.0911255,0.290283,-0.739502,-0.600464
1523148933246481,0.0895386,0.291077,-0.739502,-0.600342
1523148933261523,0.0880127,0.291504,-0.73938,-0.600586
1523148933284081,0.0878296,0.291809,-0.739136,-0.600708
1523148933306142,0.0882568,0.291809,-0.738953,-0.60083
1523148933321183,0.0892944,0.291626,-0.738953,-0.600769
1523148933343742,0.0899658,0.291382,-0.739136,-0.600586
1523148933366803,0.0900269,0.29126,-0.739441,-0.600342
1523148933381340,0.0895386,0.291077,-0.739746,-0.600037
1523148933403900,0.0888672,0.290894,-0.740112,-0.599792
1523148933426461,0.088562,0.29071,-0.740479,-0.599487
1523148933441000,0.088562,0.290283,-0.740784,-0.599304
1523148933463560,0.088623,0.290161,-0.740967,-0.599182
1523148933486623,0.0888672,0.290161,-0.740967,-0.599121
1523148933500660,0.0890503,0.290039,-0.741089,-0.598938
1523148933523719,0.0889893,0.289978,-0.741333,-0.598694
1523148933546279,0.0875854,0.289917,-0.74115,-0.599182
1523148933567338,0.0870972,0.290283,-0.741516,-0.598694
1523148933583879,0.0875854,0.289673,-0.74176,-0.598511
1523148933606443,0.0883179,0.288635,-0.742126,-0.598511
1523148933620478,0.0894775,0.288208,-0.742065,-0.598633
1523148933644040,0.0903931,0.287354,-0.742065,-0.598816
1523148933666099,0.0911255,0.286926,-0.742004,-0.598999
1523148933680637,0.0915527,0.287109,-0.74176,-0.599182
1523148933703699,0.0913696,0.287354,-0.741516,-0.599426
1523148933726259,0.0906982,0.288757,-0.740967,-0.599548
1523148933740803,0.09021,0.289734,-0.740417,-0.599731
1523148933771378,0.09021,0.290405,-0.740112,-0.599854
1523148933786420,0.0905762,0.290955,-0.739868,-0.599792
1523148933807476,0.0910645,0.291626,-0.739624,-0.599792
1523148933824018,0.0911865,0.292053,-0.73938,-0.599854
1523148933846077,0.0910645,0.292358,-0.739136,-0.599915
1523148933867633,0.0906372,0.292358,-0.739197,-0.599976
1523148933883676,0.0900269,0.292236,-0.739258,-0.600037
